language;de;en;fr;it;tr
de;Deutsch;German;Allemand;Tedesco;Almanca
en;Englisch;English;Anglais;Inglese;?ngilizce
fr;Französisch;French;Français;Francese;Frans?zca
it;Italienisch;Italian;Italien;Italiano;?talyanca
tr;Türkisch;Turkish;Turc;Turco;Türkçe
